total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
86.0,55.0,13.0,11592,3,17,2.8,35181,4,0,1.0
49.0,29.0,13.0,4831,2,4,2.6,23196,4,0,0.0
55.0,25.5,10.6,3856,2,3,2.82,24024,1,0,1.0
97.0,53.3,17.7,12480,3,14,2.75,39660,2,2,1.0
51.0,30.7,7.0,15566,2,9,2.6,12975,8,2,0.0
31.6,17.6,6.0,15454,1,5,2.5,18703,5,0,0.0
83.4,55.0,12.3,2945,3,7,2.84,23404,5,0,1.0
46.0,18.2,10.7,16785,1,10,2.6,48152,5,1,1.0
63.0,40.0,9.5,13009,3,9,2.6,14212,3,0,0.0
46.0,28.0,7.0,18667,2,5,2.5,45943,5,0,0.0
56.0,35.0,8.1,6931,2,5,3.4,27736,4,1,1.0
45.0,28.0,7.0,14856,2,9,2.5,46240,2,1,0.0
65.6,38.0,10.0,1742,3,5,3.5,22190,1,0,1.0
61.0,32.0,12.0,6234,2,5,3.54,20136,1,0,1.0
64.0,43.0,10.3,14207,3,15,2.55,15411,5,2,0.0
197.0,107.6,5.0,1211,7,6,2.9,21583,1,0,1.0
80.0,46.0,15.0,22210,3,12,2.6,20498,10,1,1.0
83.1,45.3,12.0,12765,2,16,2.8,37244,7,4,1.0
65.7,30.9,13.1,5045,2,11,2.76,31364,6,1,1.0
181.5,125.1,16.9,4639,6,6,3.6,24376,4,0,1.0
50.5,30.3,6.3,5472,2,5,3.04,24904,1,0,1.0
52.0,34.3,7.6,11782,2,14,2.5,40088,6,0,1.0
53.0,31.0,9.0,21074,2,20,2.8,19362,18,2,1.0
34.8,17.9,8.8,12188,1,16,2.6,43431,10,2,0.0
36.4,18.3,9.9,10890,1,23,2.6,28959,7,1,0.0
77.81,66.01,13.35,9659,2,17,2.76,11752,5,2,1.0
39.6,20.0,10.4,9798,1,25,2.68,42507,17,1,0.0
42.4,28.0,5.5,11285,2,5,2.5,10876,3,1,0.0
57.8,34.3,12.0,13271,2,18,2.6,10010,14,0,0.0
67.0,38.4,7.4,16045,3,17,2.7,18243,5,0,1.0
